"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19","Time (s) Run #20","Position (m) Run #20","Velocity (m/s) Run #20","Acceleration (m/s²) Run #20"
16.520,0.29,0.13,0.20,16.520,0.26,0.04,0.73,16.520,0.32,-0.11,-0.36,16.520,0.31,0.15,-0.32,16.520,0.26,0.05,0.69,16.520,0.32,-0.09,-0.49,16.520,0.33,0.02,-0.73,16.520,0.32,0.11,-0.54,16.520,0.27,-0.11,0.46,16.520,0.28,0.14,0.32,16.520,0.29,0.13,0.09,16.520,0.27,-0.11,0.48,16.520,0.32,0.09,-0.50,16.520,0.32,0.11,-0.56,16.520,0.30,-0.15,-0.10,16.520,0.32,-0.09,-0.54,16.520,0.31,0.16,-0.27,16.520,0.31,-0.13,-0.26,16.520,0.29,0.16,0.13,16.520,0.32,0.14,-0.38
16.560,0.29,0.14,0.08,16.560,0.26,0.07,0.68,16.560,0.31,-0.13,-0.27,16.560,0.32,0.14,-0.42,16.560,0.26,0.08,0.63,16.560,0.32,-0.11,-0.41,16.560,0.33,-0.01,-0.72,16.560,0.33,0.08,-0.61,16.560,0.27,-0.09,0.55,16.560,0.29,0.15,0.21,16.560,0.30,0.13,-0.01,16.560,0.27,-0.09,0.55,16.560,0.33,0.07,-0.57,16.560,0.33,0.09,-0.63,16.560,0.30,-0.15,0.02,16.560,0.32,-0.11,-0.46,16.560,0.32,0.14,-0.38,16.560,0.30,-0.14,-0.14,16.560,0.30,0.16,0.01,16.560,0.32,0.12,-0.48
16.600,0.30,0.14,-0.03,16.600,0.27,0.10,0.60,16.600,0.31,-0.14,-0.16,16.600,0.32,0.12,-0.52,16.600,0.27,0.10,0.54,16.600,0.31,-0.12,-0.31,16.600,0.33,-0.04,-0.69,16.600,0.33,0.06,-0.66,16.600,0.27,-0.07,0.62,16.600,0.29,0.16,0.08,16.600,0.30,0.13,-0.11,16.600,0.27,-0.06,0.61,16.600,0.33,0.05,-0.63,16.600,0.33,0.06,-0.68,16.600,0.29,-0.15,0.14,16.600,0.32,-0.13,-0.36,16.600,0.32,0.13,-0.48,16.600,0.30,-0.14,-0.03,16.600,0.30,0.16,-0.12,16.600,0.33,0.10,-0.57
16.640,0.30,0.13,-0.14,16.640,0.27,0.12,0.51,16.640,0.30,-0.14,-0.06,16.640,0.33,0.09,-0.59,16.640,0.27,0.12,0.45,16.640,0.31,-0.13,-0.21,16.640,0.33,-0.07,-0.65,16.640,0.33,0.03,-0.69,16.640,0.26,-0.04,0.66,16.640,0.30,0.16,-0.05,16.640,0.31,0.12,-0.21,16.640,0.26,-0.04,0.64,16.640,0.33,0.02,-0.65,16.640,0.33,0.03,-0.73,16.640,0.28,-0.14,0.26,16.640,0.31,-0.14,-0.25,16.640,0.33,0.10,-0.58,16.640,0.29,-0.14,0.08,16.640,0.31,0.15,-0.24,16.640,0.33,0.07,-0.64
16.680,0.31,0.13,-0.23,16.680,0.28,0.14,0.41,16.680,0.29,-0.14,0.05,16.680,0.33,0.07,-0.65,16.680,0.28,0.14,0.35,16.680,0.30,-0.14,-0.10,16.680,0.33,-0.09,-0.58,16.680,0.33,0.00,-0.70,16.680,0.26,-0.02,0.68,16.680,0.31,0.15,-0.18,16.680,0.31,0.11,-0.31,16.680,0.26,-0.01,0.65,16.680,0.33,-0.01,-0.64,16.680,0.33,7.28E-4,-0.74,16.680,0.28,-0.13,0.37,16.680,0.30,-0.15,-0.14,16.680,0.33,0.08,-0.66,16.680,0.29,-0.14,0.19,16.680,0.31,0.14,-0.35,16.680,0.33,0.05,-0.69
16.720,0.31,0.11,-0.32,16.720,0.28,0.15,0.29,16.720,0.29,-0.14,0.15,16.720,0.33,0.04,-0.70,16.720,0.28,0.15,0.24,16.720,0.30,-0.14,-0.01,16.720,0.32,-0.12,-0.50,16.720,0.33,-0.03,-0.69,16.720,0.26,0.01,0.68,16.720,0.31,0.15,-0.30,16.720,0.32,0.10,-0.39,16.720,0.26,0.02,0.65,16.720,0.33,-0.03,-0.62,16.720,0.33,-0.03,-0.73,16.720,0.27,-0.11,0.47,16.720,0.30,-0.15,-0.02,16.720,0.33,0.05,-0.71,16.720,0.28,-0.13,0.31,16.720,0.32,0.12,-0.46,16.720,0.33,0.02,-0.71
16.760,0.32,0.10,-0.41,16.760,0.29,0.16,0.17,16.760,0.28,-0.13,0.26,16.760,0.33,0.01,-0.73,16.760,0.29,0.16,0.12,16.760,0.29,-0.14,0.10,16.760,0.32,-0.13,-0.40,16.760,0.33,-0.05,-0.66,16.760,0.26,0.04,0.65,16.760,0.32,0.13,-0.40,16.760,0.32,0.08,-0.46,16.760,0.26,0.04,0.63,16.760,0.33,-0.05,-0.59,16.760,0.33,-0.06,-0.68,16.760,0.27,-0.09,0.55,16.760,0.29,-0.15,0.09,16.760,0.33,0.02,-0.74,16.760,0.28,-0.11,0.41,16.760,0.32,0.10,-0.54,16.760,0.33,-0.01,-0.70
16.800,0.32,0.08,-0.49,16.800,0.29,0.17,0.04,16.800,0.28,-0.12,0.37,16.800,0.33,-0.02,-0.73,16.800,0.30,0.16,-0.01,16.800,0.29,-0.13,0.22,16.800,0.31,-0.15,-0.29,16.800,0.33,-0.08,-0.61,16.800,0.27,0.06,0.61,16.800,0.32,0.11,-0.49,16.800,0.32,0.06,-0.52,16.800,0.27,0.07,0.59,16.800,0.32,-0.08,-0.55,16.800,0.33,-0.08,-0.62,16.800,0.27,-0.07,0.61,16.800,0.29,-0.14,0.20,16.800,0.33,-0.01,-0.74,16.800,0.27,-0.10,0.49,16.800,0.33,0.08,-0.60,16.800,0.33,-0.04,-0.68
16.840,0.32,0.06,-0.55,16.840,0.30,0.17,-0.10,16.840,0.27,-0.10,0.46,16.840,0.33,-0.05,-0.70,16.840,0.30,0.16,-0.14,16.840,0.28,-0.12,0.33,16.840,0.31,-0.16,-0.17,16.840,0.32,-0.10,-0.54,16.840,0.27,0.09,0.55,16.840,0.33,0.09,-0.57,16.840,0.33,0.04,-0.55,16.840,0.27,0.09,0.53,16.840,0.32,-0.10,-0.47,16.840,0.33,-0.11,-0.54,16.840,0.26,-0.04,0.65,16.840,0.28,-0.13,0.31,16.840,0.33,-0.04,-0.72,16.840,0.27,-0.07,0.55,16.840,0.33,0.05,-0.64,16.840,0.33,-0.07,-0.63
16.880,0.33,0.04,-0.59,16.880,0.31,0.16,-0.23,16.880,0.27,-0.08,0.53,16.880,0.33,-0.07,-0.65,16.880,0.31,0.15,-0.27,16.880,0.28,-0.10,0.42,16.880,0.30,-0.16,-0.04,16.880,0.32,-0.12,-0.45,16.880,0.27,0.11,0.48,16.880,0.33,0.07,-0.63,16.880,0.33,0.02,-0.57,16.880,0.27,0.11,0.44,16.880,0.32,-0.12,-0.38,16.880,0.32,-0.13,-0.45,16.880,0.26,-0.01,0.67,16.880,0.28,-0.12,0.42,16.880,0.33,-0.07,-0.68,16.880,0.27,-0.05,0.59,16.880,0.33,0.03,-0.68,16.880,0.33,-0.09,-0.58
16.920,0.33,0.01,-0.61,16.920,0.31,0.15,-0.35,16.920,0.27,-0.05,0.58,16.920,0.33,-0.10,-0.58,16.920,0.32,0.14,-0.39,16.920,0.27,-0.09,0.49,16.920,0.29,-0.16,0.10,16.920,0.31,-0.14,-0.35,16.920,0.28,0.13,0.38,16.920,0.33,0.04,-0.68,16.920,0.33,-0.01,-0.57,16.920,0.28,0.13,0.34,16.920,0.31,-0.13,-0.27,16.920,0.31,-0.14,-0.35,16.920,0.26,0.01,0.66,16.920,0.27,-0.10,0.51,16.920,0.33,-0.09,-0.61,16.920,0.27,-0.03,0.63,16.920,0.33,0.00,-0.70,16.920,0.32,-0.11,-0.50
16.960,0.33,-0.01,-0.60,16.960,0.32,0.13,-0.45,16.960,0.27,-0.03,0.60,16.960,0.32,-0.12,-0.49,16.960,0.32,0.12,-0.48,16.960,0.27,-0.06,0.54,16.960,0.29,-0.16,0.23,16.960,0.31,-0.15,-0.23,16.960,0.28,0.14,0.27,16.960,0.33,0.01,-0.71,16.960,0.33,-0.03,-0.56,16.960,0.28,0.14,0.22,16.960,0.31,-0.14,-0.17,16.960,0.31,-0.16,-0.23,16.960,0.26,0.04,0.64,16.960,0.27,-0.08,0.57,16.960,0.32,-0.12,-0.52,16.960,0.26,-4.99E-4,0.64,16.960,0.33,-0.03,-0.69,16.960,0.32,-0.13,-0.40
17.000,0.33,-0.04,-0.58,17.000,0.32,0.11,-0.54,17.000,0.27,-0.01,0.61,17.000,0.32,-0.14,-0.39,17.000,0.33,0.10,-0.57,17.000,0.27,-0.04,0.58,17.000,0.28,-0.14,0.35,17.000,0.30,-0.16,-0.10,17.000,0.29,0.15,0.15,17.000,0.33,-0.02,-0.70,17.000,0.32,-0.05,-0.52,17.000,0.29,0.14,0.11,17.000,0.30,-0.14,-0.07,17.000,0.30,-0.16,-0.10,17.000,0.27,0.06,0.60,17.000,0.27,-0.05,0.61,17.000,0.32,-0.14,-0.41,17.000,0.27,0.03,0.63,17.000,0.33,-0.06,-0.64,17.000,0.31,-0.14,-0.29
17.040,0.32,-0.06,-0.54,17.040,0.33,0.09,-0.62,17.040,0.27,0.02,0.61,17.040,0.31,-0.15,-0.27,17.040,0.33,0.07,-0.63,17.040,0.27,-0.02,0.60,17.040,0.27,-0.13,0.46,17.040,0.30,-0.16,0.03,17.040,0.29,0.15,0.03,17.040,0.33,-0.05,-0.66,17.040,0.32,-0.07,-0.47,17.040,0.30,0.15,0.00,17.040,0.29,-0.14,0.05,17.040,0.30,-0.16,0.04,17.040,0.27,0.09,0.54,17.040,0.26,-0.03,0.64,17.040,0.31,-0.15,-0.31,17.040,0.27,0.05,0.59,17.040,0.33,-0.08,-0.58,17.040,0.31,-0.15,-0.17
17.080,0.32,-0.08,-0.48,17.080,0.33,0.06,-0.69,17.080,0.27,0.04,0.59,17.080,0.30,-0.16,-0.15,17.080,0.33,0.05,-0.68,17.080,0.27,0.01,0.61,17.080,0.27,-0.11,0.54,17.080,0.29,-0.16,0.16,17.080,0.30,0.15,-0.09,17.080,0.33,-0.07,-0.61,17.080,0.32,-0.09,-0.41,17.080,0.30,0.14,-0.11,17.080,0.29,-0.14,0.16,17.080,0.29,-0.16,0.17,17.080,0.27,0.11,0.47,17.080,0.26,1.91E-4,0.66,17.080,0.31,-0.16,-0.19,17.080,0.27,0.07,0.54,17.080,0.32,-0.10,-0.50,17.080,0.30,-0.16,-0.04
17.120,0.32,-0.10,-0.41,17.120,0.33,0.03,-0.72,17.120,0.27,0.07,0.54,17.120,0.30,-0.16,-0.02,17.120,0.33,0.02,-0.71,17.120,0.27,0.03,0.60,17.120,0.27,-0.08,0.61,17.120,0.28,-0.15,0.28,17.120,0.31,0.15,-0.20,17.120,0.33,-0.09,-0.56,17.120,0.31,-0.10,-0.33,17.120,0.31,0.14,-0.21,17.120,0.28,-0.13,0.27,17.120,0.28,-0.15,0.29,17.120,0.28,0.13,0.37,17.120,0.26,0.03,0.66,17.120,0.30,-0.17,-0.07,17.120,0.27,0.09,0.47,17.120,0.32,-0.12,-0.41,17.120,0.29,-0.16,0.09
17.160,0.31,-0.11,-0.32,17.160,0.33,0.00,-0.73,17.160,0.27,0.09,0.49,17.160,0.29,-0.16,0.12,17.160,0.33,-0.01,-0.71,17.160,0.27,0.05,0.57,17.160,0.26,-0.06,0.67,17.160,0.28,-0.13,0.38,17.160,0.31,0.14,-0.31,17.160,0.32,-0.12,-0.48,17.160,0.31,-0.12,-0.25,17.160,0.31,0.13,-0.32,17.160,0.28,-0.12,0.37,17.160,0.28,-0.14,0.40,17.160,0.28,0.14,0.26,17.160,0.27,0.05,0.62,17.160,0.29,-0.17,0.07,17.160,0.28,0.11,0.39,17.160,0.31,-0.14,-0.30,17.160,0.29,-0.15,0.21
17.200,0.31,-0.12,-0.24,17.200,0.33,-0.03,-0.71,17.200,0.28,0.11,0.40,17.200,0.28,-0.15,0.25,17.200,0.33,-0.04,-0.69,17.200,0.27,0.08,0.51,17.200,0.26,-0.03,0.71,17.200,0.27,-0.12,0.47,17.200,0.32,0.12,-0.42,17.200,0.32,-0.13,-0.37,17.200,0.30,-0.12,-0.15,17.200,0.32,0.11,-0.41,17.200,0.27,-0.10,0.46,17.200,0.27,-0.12,0.50,17.200,0.29,0.15,0.15,17.200,0.27,0.08,0.55,17.200,0.29,-0.16,0.21,17.200,0.28,0.13,0.30,17.200,0.31,-0.15,-0.19,17.200,0.28,-0.14,0.32
17.240,0.30,-0.13,-0.14,17.240,0.33,-0.06,-0.68,17.240,0.28,0.12,0.31,17.240,0.28,-0.14,0.36,17.240,0.33,-0.07,-0.65,17.240,0.27,0.10,0.43,17.240,0.26,1.56E-4,0.72,17.240,0.27,-0.09,0.55,17.240,0.32,0.10,-0.50,17.240,0.31,-0.15,-0.25,17.240,0.30,-0.13,-0.05,17.240,0.32,0.09,-0.50,17.240,0.27,-0.08,0.54,17.240,0.27,-0.10,0.58,17.240,0.30,0.15,0.02,17.240,0.27,0.10,0.47,17.240,0.28,-0.15,0.33,17.240,0.29,0.14,0.19,17.240,0.30,-0.15,-0.07,17.240,0.28,-0.13,0.43
17.280,0.30,-0.14,-0.04,17.280,0.33,-0.08,-0.63,17.280,0.29,0.13,0.20,17.280,0.27,-0.13,0.46,17.280,0.33,-0.09,-0.58,17.280,0.28,0.11,0.34,17.280,0.26,0.03,0.71,17.280,0.27,-0.07,0.62,17.280,0.33,0.08,-0.57,17.280,0.30,-0.15,-0.13,17.280,0.29,-0.13,0.05,17.280,0.33,0.07,-0.57,17.280,0.27,-0.06,0.59,17.280,0.26,-0.07,0.65,17.280,0.30,0.15,-0.10,17.280,0.28,0.12,0.39,17.280,0.27,-0.13,0.44,17.280,0.29,0.14,0.08,17.280,0.30,-0.15,0.05,17.280,0.27,-0.11,0.52
17.320,0.29,-0.13,0.08,17.320,0.33,-0.11,-0.55,17.320,0.29,0.14,0.10,17.320,0.27,-0.10,0.55,17.320,0.32,-0.11,-0.49,17.320,0.28,0.12,0.24,17.320,0.26,0.06,0.66,17.320,0.26,-0.04,0.67,17.320,0.33,0.06,-0.63,17.320,0.30,-0.16,-0.01,17.320,0.29,-0.12,0.15,17.320,0.33,0.05,-0.61,17.320,0.27,-0.03,0.62,17.320,0.26,-0.04,0.69,17.320,0.31,0.14,-0.22,17.320,0.28,0.13,0.30,17.320,0.27,-0.11,0.53,17.320,0.30,0.14,-0.04,17.320,0.29,-0.15,0.17,17.320,0.27,-0.08,0.59
17.360,0.29,-0.13,0.19,17.360,0.32,-0.13,-0.46,17.360,0.30,0.14,0.00,17.360,0.27,-0.08,0.62,17.360,0.32,-0.13,-0.39,17.360,0.29,0.13,0.14,17.360,0.27,0.08,0.60,17.360,0.26,-0.02,0.69,17.360,0.33,0.03,-0.66,17.360,0.29,-0.15,0.11,17.360,0.28,-0.12,0.26,17.360,0.33,0.02,-0.64,17.360,0.26,-0.01,0.63,17.360,0.26,-0.01,0.72,17.360,0.31,0.13,-0.32,17.360,0.29,0.14,0.19,17.360,0.27,-0.09,0.62,17.360,0.30,0.14,-0.15,17.360,0.28,-0.14,0.28,17.360,0.26,-0.06,0.65
17.400,0.28,-0.12,0.29,17.400,0.32,-0.14,-0.35,17.400,0.30,0.14,-0.11,17.400,0.26,-0.05,0.67,17.400,0.31,-0.14,-0.29,17.400,0.29,0.14,0.04,17.400,0.27,0.11,0.52,17.400,0.26,0.01,0.69,17.400,0.33,0.00,-0.67,17.400,0.29,-0.15,0.23,17.400,0.28,-0.10,0.35,17.400,0.33,0.00,-0.64,17.400,0.26,0.02,0.63,17.400,0.26,0.01,0.72,17.400,0.32,0.12,-0.41,17.400,0.29,0.14,0.08,17.400,0.26,-0.06,0.68,17.400,0.31,0.13,-0.26,17.400,0.28,-0.13,0.39,17.400,0.26,-0.03,0.68
17.440,0.28,-0.11,0.37,17.440,0.31,-0.15,-0.23,17.440,0.31,0.13,-0.23,17.440,0.26,-0.03,0.71,17.440,0.31,-0.15,-0.17,17.440,0.30,0.13,-0.07,17.440,0.27,0.13,0.43,17.440,0.26,0.04,0.67,17.440,0.33,-0.03,-0.65,17.440,0.28,-0.14,0.34,17.440,0.28,-0.09,0.43,17.440,0.33,-0.03,-0.63,17.440,0.27,0.04,0.61,17.440,0.26,0.04,0.70,17.440,0.32,0.10,-0.49,17.440,0.30,0.15,-0.04,17.440,0.26,-0.03,0.72,17.440,0.31,0.12,-0.35,17.440,0.27,-0.11,0.48,17.440,0.26,0.00,0.70
17.480,0.27,-0.09,0.45,17.480,0.30,-0.16,-0.10,17.480,0.31,0.12,-0.33,17.480,0.26,0.00,0.72,17.480,0.30,-0.16,-0.04,17.480,0.31,0.13,-0.16,17.480,0.28,0.14,0.33,17.480,0.26,0.07,0.63,17.480,0.33,-0.05,-0.63,17.480,0.27,-0.12,0.44,17.480,0.27,-0.07,0.49,17.480,0.33,-0.05,-0.59,17.480,0.27,0.07,0.55,17.480,0.26,0.07,0.64,17.480,0.33,0.08,-0.56,17.480,0.30,0.14,-0.15,17.480,0.26,0.00,0.73,17.480,0.32,0.10,-0.43,17.480,0.27,-0.09,0.55,17.480,0.26,0.03,0.69
17.520,0.27,-0.07,0.51,17.520,0.30,-0.16,0.02,17.520,0.32,0.10,-0.41,17.520,0.26,0.03,0.71,17.520,0.29,-0.16,0.08,17.520,0.31,0.12,-0.26,17.520,0.29,0.15,0.21,17.520,0.27,0.09,0.56,17.520,0.33,-0.08,-0.58,17.520,0.27,-0.10,0.52,17.520,0.27,-0.05,0.53,17.520,0.32,-0.08,-0.54,17.520,0.27,0.09,0.48,17.520,0.27,0.10,0.57,17.520,0.33,0.05,-0.61,17.520,0.31,0.13,-0.27,17.520,0.26,0.03,0.72,17.520,0.32,0.08,-0.50,17.520,0.27,-0.06,0.61,17.520,0.26,0.05,0.66
17.560,0.27,-0.05,0.56,17.560,0.29,-0.16,0.15,17.560,0.32,0.08,-0.47,17.560,0.26,0.06,0.66,17.560,0.29,-0.15,0.20,17.560,0.31,0.11,-0.35,17.560,0.29,0.16,0.08,17.560,0.27,0.11,0.48,17.560,0.32,-0.10,-0.51,17.560,0.27,-0.08,0.60,17.560,0.27,-0.03,0.55,17.560,0.32,-0.10,-0.47,17.560,0.28,0.11,0.41,17.560,0.27,0.12,0.49,17.560,0.33,0.03,-0.64,17.560,0.32,0.12,-0.37,17.560,0.26,0.05,0.68,17.560,0.33,0.06,-0.55,17.560,0.26,-0.04,0.66,17.560,0.27,0.08,0.60
17.600,0.27,-0.02,0.59,17.600,0.28,-0.15,0.27,17.600,0.32,0.06,-0.53,17.600,0.27,0.09,0.60,17.600,0.28,-0.14,0.32,17.600,0.32,0.09,-0.43,17.600,0.30,0.16,-0.04,17.600,0.28,0.13,0.38,17.600,0.32,-0.12,-0.42,17.600,0.26,-0.05,0.66,17.600,0.27,0.00,0.56,17.600,0.32,-0.12,-0.38,17.600,0.28,0.12,0.32,17.600,0.28,0.14,0.39,17.600,0.33,6.34E-4,-0.65,17.600,0.32,0.10,-0.45,17.600,0.26,0.08,0.63,17.600,0.33,0.04,-0.59,17.600,0.26,-0.01,0.68,17.600,0.27,0.10,0.52
17.640,0.27,-4.61E-4,0.59,17.640,0.28,-0.14,0.39,17.640,0.33,0.04,-0.58,17.640,0.27,0.11,0.51,17.640,0.28,-0.13,0.43,17.640,0.32,0.07,-0.51,17.640,0.30,0.15,-0.17,17.640,0.28,0.14,0.27,17.640,0.31,-0.13,-0.32,17.640,0.26,-0.02,0.69,17.640,0.27,0.02,0.56,17.640,0.31,-0.13,-0.28,17.640,0.29,0.13,0.22,17.640,0.28,0.15,0.27,17.640,0.33,-0.03,-0.64,17.640,0.32,0.08,-0.52,17.640,0.27,0.10,0.55,17.640,0.33,0.01,-0.62,17.640,0.26,0.02,0.68,17.640,0.27,0.12,0.43
17.680,0.27,0.02,0.58,17.680,0.27,-0.12,0.50,17.680,0.33,0.02,-0.61,17.680,0.27,0.13,0.43,17.680,0.27,-0.11,0.53,17.680,0.33,0.05,-0.56,17.680,0.31,0.15,-0.29,17.680,0.29,0.15,0.15,17.680,0.31,-0.14,-0.21,17.680,0.26,0.00,0.69,17.680,0.27,0.04,0.54,17.680,0.31,-0.14,-0.17,17.680,0.29,0.14,0.10,17.680,0.29,0.16,0.15,17.680,0.33,-0.05,-0.61,17.680,0.33,0.06,-0.58,17.680,0.27,0.13,0.46,17.680,0.33,-0.01,-0.62,17.680,0.26,0.04,0.65,17.680,0.28,0.14,0.33
17.720,0.27,0.05,0.55,17.720,0.27,-0.10,0.59,17.720,0.33,-0.01,-0.62,17.720,0.28,0.14,0.32,17.720,0.27,-0.08,0.61,17.720,0.33,0.03,-0.59,17.720,0.32,0.13,-0.39,17.720,0.29,0.15,0.03,17.720,0.30,-0.15,-0.09,17.720,0.26,0.03,0.67,17.720,0.27,0.06,0.48,17.720,0.30,-0.14,-0.06,17.720,0.30,0.14,-0.01,17.720,0.30,0.16,0.01,17.720,0.33,-0.08,-0.55,17.720,0.33,0.04,-0.63,17.720,0.28,0.14,0.35,17.720,0.33,-0.04,-0.59,17.720,0.27,0.07,0.60,17.720,0.29,0.15,0.22
17.760,0.27,0.07,0.51,17.760,0.26,-0.07,0.65,17.760,0.33,-0.03,-0.59,17.760,0.29,0.15,0.20,17.760,0.26,-0.06,0.65,17.760,0.33,0.00,-0.59,17.760,0.32,0.11,-0.49,17.760,0.30,0.15,-0.09,17.760,0.30,-0.15,0.03,17.760,0.26,0.06,0.64,17.760,0.27,0.08,0.42,17.760,0.29,-0.14,0.05,17.760,0.30,0.14,-0.11,17.760,0.30,0.16,-0.11,17.760,0.32,-0.10,-0.49,17.760,0.33,0.01,-0.64,17.760,0.28,0.15,0.24,17.760,0.33,-0.06,-0.55,17.760,0.27,0.09,0.53,17.760,0.29,0.15,0.09
17.800,0.27,0.09,0.45,17.800,0.26,-0.04,0.69,17.800,0.33,-0.06,-0.54,17.800,0.29,0.16,0.07,17.800,0.26,-0.03,0.68,17.800,0.33,-0.02,-0.58,17.800,0.33,0.09,-0.57,17.800,0.31,0.15,-0.20,17.800,0.29,-0.15,0.14,17.800,0.27,0.08,0.58,17.800,0.28,0.10,0.35,17.800,0.29,-0.14,0.16,17.800,0.31,0.13,-0.22,17.800,0.31,0.15,-0.23,17.800,0.32,-0.11,-0.41,17.800,0.33,-0.02,-0.63,17.800,0.29,0.16,0.12,17.800,0.32,-0.08,-0.49,17.800,0.27,0.11,0.45,17.800,0.30,0.15,-0.04
17.840,0.28,0.10,0.37,17.840,0.26,-0.02,0.70,17.840,0.32,-0.08,-0.49,17.840,0.30,0.16,-0.06,17.840,0.26,0.00,0.69,17.840,0.33,-0.04,-0.56,17.840,0.33,0.07,-0.63,17.840,0.31,0.14,-0.31,17.840,0.28,-0.14,0.26,17.840,0.27,0.11,0.50,17.840,0.28,0.11,0.27,17.840,0.28,-0.13,0.26,17.840,0.31,0.12,-0.32,17.840,0.31,0.14,-0.35,17.840,0.31,-0.13,-0.32,17.840,0.33,-0.04,-0.60,17.840,0.30,0.16,-0.02,17.840,0.32,-0.10,-0.42,17.840,0.28,0.13,0.35,17.840,0.30,0.15,-0.16
17.880,0.28,0.12,0.28,17.880,0.26,0.01,0.71,17.880,0.32,-0.09,-0.43,17.880,0.31,0.15,-0.18,17.880,0.26,0.03,0.69,17.880,0.32,-0.06,-0.52,17.880,0.33,0.04,-0.67,17.880,0.32,0.12,-0.42,17.880,0.28,-0.13,0.37,17.880,0.28,0.12,0.40,17.880,0.29,0.12,0.18,17.880,0.28,-0.12,0.36,17.880,0.32,0.11,-0.41,17.880,0.32,0.12,-0.45,17.880,0.31,-0.14,-0.21,17.880,0.33,-0.06,-0.57,17.880,0.30,0.16,-0.15,17.880,0.31,-0.12,-0.33,17.880,0.28,0.14,0.24,17.880,0.31,0.14,-0.27
17.920,0.29,0.13,0.18,17.920,0.26,0.04,0.69,17.920,0.32,-0.11,-0.35,17.920,0.31,0.15,-0.29,17.920,0.26,0.05,0.66,17.920,0.32,-0.08,-0.46,17.920,0.33,0.01,-0.69,17.920,0.32,0.10,-0.50,17.920,0.27,-0.11,0.46,17.920,0.28,0.14,0.29,17.920,0.29,0.12,0.08,17.920,0.27,-0.10,0.46,17.920,0.32,0.09,-0.49,17.920,0.32,0.10,-0.54,17.920,0.30,-0.15,-0.10,17.920,0.32,-0.09,-0.52,17.920,0.31,0.15,-0.28,17.920,0.31,-0.13,-0.23,17.920,0.29,0.15,0.12,17.920,0.32,0.13,-0.37
17.960,0.29,0.13,0.07,17.960,0.26,0.07,0.65,17.960,0.31,-0.12,-0.26,17.960,0.32,0.13,-0.40,17.960,0.27,0.08,0.60,17.960,0.32,-0.10,-0.38,17.960,0.33,-0.02,-0.69,17.960,0.33,0.08,-0.57,17.960,0.27,-0.09,0.53,17.960,0.29,0.15,0.18,17.960,0.30,0.12,-0.02,17.960,0.27,-0.08,0.54,17.960,0.32,0.07,-0.55,17.960,0.33,0.08,-0.60,17.960,0.30,-0.15,0.03,17.960,0.32,-0.11,-0.44,17.960,0.32,0.14,-0.39,17.960,0.30,-0.13,-0.12,17.960,0.30,0.15,0.00,17.960,0.32,0.11,-0.46
18.000,0.30,0.13,-0.03,18.000,0.27,0.09,0.58,18.000,0.31,-0.13,-0.15,18.000,0.32,0.11,-0.50,18.000,0.27,0.10,0.52,18.000,0.31,-0.12,-0.30,18.000,0.33,-0.04,-0.67,18.000,0.33,0.06,-0.63,18.000,0.27,-0.07,0.60,18.000,0.29,0.15,0.07,18.000,0.30,0.12,-0.11,18.000,0.27,-0.06,0.59,18.000,0.33,0.04,-0.59,18.000,0.33,0.06,-0.65,18.000,0.29,-0.14,0.16,18.000,0.31,-0.12,-0.33,18.000,0.32,0.12,-0.49,18.000,0.30,-0.14,-0.02,18.000,0.30,0.15,-0.12,18.000,0.32,0.09,-0.54
